,FrameName,frameDefinitions,frameExamples,role,roleExamples
0,Emotions_by_possibility,"An Experiencer, Expressor, Event, or State can be described as characterized by a particular emotion as evoked by a possibility in their future (Stimulus) or concerning a given Topic.",,Stimulus,
0,Emotions_by_possibility,"An Experiencer, Expressor, Event, or State can be described as characterized by a particular emotion as evoked by a possibility in their future (Stimulus) or concerning a given Topic.",,Expressor,
0,Emotions_by_possibility,"An Experiencer, Expressor, Event, or State can be described as characterized by a particular emotion as evoked by a possibility in their future (Stimulus) or concerning a given Topic.",,State,
0,Emotions_by_possibility,"An Experiencer, Expressor, Event, or State can be described as characterized by a particular emotion as evoked by a possibility in their future (Stimulus) or concerning a given Topic.",,Event,
0,Emotions_by_possibility,"An Experiencer, Expressor, Event, or State can be described as characterized by a particular emotion as evoked by a possibility in their future (Stimulus) or concerning a given Topic.",,Time,
0,Remainder,"A Resource is depleted by some process, resulting in there being only a Remainder in existence some time into or after the process.",There are only two poems <t>left</t> from Quayle,Remainder,
0,Remainder,"A Resource is depleted by some process, resulting in there being only a Remainder in existence some time into or after the process.",There are only two poems <t>left</t> from Quayle,Resource,
0,Remainder,"A Resource is depleted by some process, resulting in there being only a Remainder in existence some time into or after the process.",There are only two poems <t>left</t> from Quayle,Original_owner,Only two poems are left <fex>from Virgil Smithers</fex>
0,Remainder,"A Resource is depleted by some process, resulting in there being only a Remainder in existence some time into or after the process.",There are only two poems <t>left</t> from Quayle,Original_context,Only the Beaux Arts cinema is left <fex>from the golden era of the 1940s</fex>
0,Remainder,"A Resource is depleted by some process, resulting in there being only a Remainder in existence some time into or after the process.",There are only two poems <t>left</t> from Quayle,Time,"<fex>In 1910</fex>, only two of the Renaissance buildings remained"
0,Burying,An Agent or Cause places a Theme under a surface (often the ground) into a Goal location.,The suspect <t>buried</t> his gun in the ground while fleeing the police.,Agent,<fex>The pirate</fex> placed the treasure on the island.
0,Burying,An Agent or Cause places a Theme under a surface (often the ground) into a Goal location.,The suspect <t>buried</t> his gun in the ground while fleeing the police.,Theme,The pirate buried <fex>the gold</fex> under the tree.
0,Burying,An Agent or Cause places a Theme under a surface (often the ground) into a Goal location.,The suspect <t>buried</t> his gun in the ground while fleeing the police.,Goal,The suspect buried the gun <fex>in the ground</fex>.
0,Burying,An Agent or Cause places a Theme under a surface (often the ground) into a Goal location.,The suspect <t>buried</t> his gun in the ground while fleeing the police.,Cause,<fex>The tornado</fex> buried most of the structures in this area.
0,Burying,An Agent or Cause places a Theme under a surface (often the ground) into a Goal location.,The suspect <t>buried</t> his gun in the ground while fleeing the police.,Time,Smithers had buried the treasure there <fex>the night before</fex>.
0,Burying,An Agent or Cause places a Theme under a surface (often the ground) into a Goal location.,The suspect <t>buried</t> his gun in the ground while fleeing the police.,Place,"It must have been buried <fex>south of this location</fex>, according to the map."
0,Event,An Event takes place at a Place and Time.,Big earthquakes only <t>happen</t> along plate boundaries. INI ,Place,
0,Event,An Event takes place at a Place and Time.,Big earthquakes only <t>happen</t> along plate boundaries. INI ,Time,
0,Have_associated,A Topical_entity has properties which are affected by the existence and association of an Entity.,By the 1920s a characteristic book <t>had</t> black and white photographic illustrations only .,Entity,
0,Have_associated,A Topical_entity has properties which are affected by the existence and association of an Entity.,By the 1920s a characteristic book <t>had</t> black and white photographic illustrations only .,Topical_entity,
0,Have_associated,A Topical_entity has properties which are affected by the existence and association of an Entity.,By the 1920s a characteristic book <t>had</t> black and white photographic illustrations only .,Time,
0,Have_associated,A Topical_entity has properties which are affected by the existence and association of an Entity.,By the 1920s a characteristic book <t>had</t> black and white photographic illustrations only .,Place,
0,Violence,The words in this frame describe acts (or situations characterized by acts) that cause injury or harm.,Research on whether concealed carry laws increase gun <t>violence</t> among gang members has been inconclusive.,Aggressor,<fex>Your</fex> brutality on your enemies seems to know no boundaries.
0,Violence,The words in this frame describe acts (or situations characterized by acts) that cause injury or harm.,Research on whether concealed carry laws increase gun <t>violence</t> among gang members has been inconclusive.,Victim,Increasing violence against supporters of government reform have attracted international attention.
0,Violence,The words in this frame describe acts (or situations characterized by acts) that cause injury or harm.,Research on whether concealed carry laws increase gun <t>violence</t> among gang members has been inconclusive.,Cause,<fex>The storm's</fex> violence left many lives in shambles.
0,Violence,The words in this frame describe acts (or situations characterized by acts) that cause injury or harm.,Research on whether concealed carry laws increase gun <t>violence</t> among gang members has been inconclusive.,Aggressors,Hope for a peaceful resoliton is gone as violence <fex>between the two sides</fex> reignites.
0,Violence,The words in this frame describe acts (or situations characterized by acts) that cause injury or harm.,Research on whether concealed carry laws increase gun <t>violence</t> among gang members has been inconclusive.,Time,<fex>Last week's</fex> violence resulted in over three hundred injuries.
0,Violence,The words in this frame describe acts (or situations characterized by acts) that cause injury or harm.,Research on whether concealed carry laws increase gun <t>violence</t> among gang members has been inconclusive.,Place,City leaders are troubled by recent surges in <fex>local</fex> violence
0,Judgment,A Cognizer makes a judgment about an Evaluee.,JUDGMENT:  She <t>admired</t> Einstein for his character.,Cognizer,<fex>The boss</fex> appreciates you for your diligence.
0,Judgment,A Cognizer makes a judgment about an Evaluee.,JUDGMENT:  She <t>admired</t> Einstein for his character.,Evaluee,The boss appreciates <fex>you</fex> for your diligence. 
0,Judgment,A Cognizer makes a judgment about an Evaluee.,JUDGMENT:  She <t>admired</t> Einstein for his character.,Reason,I admire you <fex>for your intellect</fex>.
0,Judgment,A Cognizer makes a judgment about an Evaluee.,JUDGMENT:  She <t>admired</t> Einstein for his character.,Expressor,She viewed him with an appreciative <fex>gaze</fex>.
0,Post_giving,"The stage immediately after the Donor gives the Recipient the Theme, i.e. when the Recipient has possession of the Theme and the Donor no longer does.",,Donor,
0,Post_giving,"The stage immediately after the Donor gives the Recipient the Theme, i.e. when the Recipient has possession of the Theme and the Donor no longer does.",,Theme,
0,Post_giving,"The stage immediately after the Donor gives the Recipient the Theme, i.e. when the Recipient has possession of the Theme and the Donor no longer does.",,Recipient,
0,Post_giving,"The stage immediately after the Donor gives the Recipient the Theme, i.e. when the Recipient has possession of the Theme and the Donor no longer does.",,Time,
0,Risk_scenario,"An Asset is in a particular Situation, which has a likelihood of leading to or inviting a Harmful_event which will negatively affect the Asset.",,Asset,
0,Risk_scenario,"An Asset is in a particular Situation, which has a likelihood of leading to or inviting a Harmful_event which will negatively affect the Asset.",,Harmful_event,
0,Risk_scenario,"An Asset is in a particular Situation, which has a likelihood of leading to or inviting a Harmful_event which will negatively affect the Asset.",,Situation,
0,Risk_scenario,"An Asset is in a particular Situation, which has a likelihood of leading to or inviting a Harmful_event which will negatively affect the Asset.",,Time,
0,Risk_scenario,"An Asset is in a particular Situation, which has a likelihood of leading to or inviting a Harmful_event which will negatively affect the Asset.",,Place,
0,Labor_product,"An Agent or a Cause mentally or physically expends energy rendering an Input, whether implicit or explicit, into a Output.",Erosion is the <t>work</t> of wind and water on rock.,Agent,
0,Labor_product,"An Agent or a Cause mentally or physically expends energy rendering an Input, whether implicit or explicit, into a Output.",Erosion is the <t>work</t> of wind and water on rock.,Cause,
0,Labor_product,"An Agent or a Cause mentally or physically expends energy rendering an Input, whether implicit or explicit, into a Output.",Erosion is the <t>work</t> of wind and water on rock.,Input,
0,Labor_product,"An Agent or a Cause mentally or physically expends energy rendering an Input, whether implicit or explicit, into a Output.",Erosion is the <t>work</t> of wind and water on rock.,Output,
0,Labor_product,"An Agent or a Cause mentally or physically expends energy rendering an Input, whether implicit or explicit, into a Output.",Erosion is the <t>work</t> of wind and water on rock.,Time,
0,Labor_product,"An Agent or a Cause mentally or physically expends energy rendering an Input, whether implicit or explicit, into a Output.",Erosion is the <t>work</t> of wind and water on rock.,Place,
0,Remembering_to_do,A Cognizer thinks of and performs an Action that is a self- or other-imposed task or some other kind of desirable behavior.,You invited everybody but you <t>forgot</t> Harry.,Cognizer,".<fex>Alex and Zach Swindle</fex>, Centre, visited their brother in San Francisco in June and remembered to take along a copy of The Post>. "
0,Remembering_to_do,A Cognizer thinks of and performs an Action that is a self- or other-imposed task or some other kind of desirable behavior.,You invited everybody but you <t>forgot</t> Harry.,Action,This time we remembered <fex>to turn the gas off before leaving</fex>.
0,Remembering_to_do,A Cognizer thinks of and performs an Action that is a self- or other-imposed task or some other kind of desirable behavior.,You invited everybody but you <t>forgot</t> Harry.,Salient_entity,"We piled into the taxi and right when we were about to leave, I realized we forgot <fex>the video camera</fex>"
0,Remembering_to_do,A Cognizer thinks of and performs an Action that is a self- or other-imposed task or some other kind of desirable behavior.,You invited everybody but you <t>forgot</t> Harry.,Time,He remembered <fex>afterwards</fex> to kiss her fingers.
0,Intentionally_act,This is an abstract frame for acts performed by sentient beings.,I <t>carried</t> <t>out</t> the deed easily .,Agent,<fex>We</fex> have not yet acted .
0,Intentionally_act,This is an abstract frame for acts performed by sentient beings.,I <t>carried</t> <t>out</t> the deed easily .,Time,
0,Intentionally_act,This is an abstract frame for acts performed by sentient beings.,I <t>carried</t> <t>out</t> the deed easily .,Place,
0,Removing,"An Agent causes a Theme to move away from a location, the Source.",I saw that several men in dark suits had <t>removed</t> all of the evidence from the scene.,Agent,<fex>The waiter</fex> removed the dishes from the table.
0,Removing,"An Agent causes a Theme to move away from a location, the Source.",I saw that several men in dark suits had <t>removed</t> all of the evidence from the scene.,Theme,The waiter removed <fex>the dishes</fex> from the table. 
0,Removing,"An Agent causes a Theme to move away from a location, the Source.",I saw that several men in dark suits had <t>removed</t> all of the evidence from the scene.,Source,The waiter removed the dishes <fex>from the table</fex>.
0,Removing,"An Agent causes a Theme to move away from a location, the Source.",I saw that several men in dark suits had <t>removed</t> all of the evidence from the scene.,Cause,<fex>The raging fire</fex> quickly emptied the square of all people.
0,Removing,"An Agent causes a Theme to move away from a location, the Source.",I saw that several men in dark suits had <t>removed</t> all of the evidence from the scene.,Time,<fex>That year</fex> they drained the swamp-water out of Higgs' bottomland.
0,Removing,"An Agent causes a Theme to move away from a location, the Source.",I saw that several men in dark suits had <t>removed</t> all of the evidence from the scene.,Place,"You just take the dishes and rinse them <fex>in the kitchen</fex>, okay?"
0,Smuggling,The words in this frame describe situations in which the Perpetrator secretly takes Goods into or out of a country or other area which are prohibited by law or on which one has not paid the required duty.,He <t>smuggled</t> the bottle through customs.,Perpetrator,
0,Smuggling,The words in this frame describe situations in which the Perpetrator secretly takes Goods into or out of a country or other area which are prohibited by law or on which one has not paid the required duty.,He <t>smuggled</t> the bottle through customs.,Goods,
0,Smuggling,The words in this frame describe situations in which the Perpetrator secretly takes Goods into or out of a country or other area which are prohibited by law or on which one has not paid the required duty.,He <t>smuggled</t> the bottle through customs.,Source,
0,Smuggling,The words in this frame describe situations in which the Perpetrator secretly takes Goods into or out of a country or other area which are prohibited by law or on which one has not paid the required duty.,He <t>smuggled</t> the bottle through customs.,Path,
0,Smuggling,The words in this frame describe situations in which the Perpetrator secretly takes Goods into or out of a country or other area which are prohibited by law or on which one has not paid the required duty.,He <t>smuggled</t> the bottle through customs.,Goal,
0,Smuggling,The words in this frame describe situations in which the Perpetrator secretly takes Goods into or out of a country or other area which are prohibited by law or on which one has not paid the required duty.,He <t>smuggled</t> the bottle through customs.,Time,
0,Smuggling,The words in this frame describe situations in which the Perpetrator secretly takes Goods into or out of a country or other area which are prohibited by law or on which one has not paid the required duty.,He <t>smuggled</t> the bottle through customs.,Place,
0,Text_creation,"An Author creates a Text, either written, such as a letter, or spoken, such as a speech,  that contains meaningful linguistic tokens, and may have a particular Addressee in mind.",I <t>penned</t> a letter concerning racism to Congress.,Author,
0,Text_creation,"An Author creates a Text, either written, such as a letter, or spoken, such as a speech,  that contains meaningful linguistic tokens, and may have a particular Addressee in mind.",I <t>penned</t> a letter concerning racism to Congress.,Text,Michael wrote <fex>a frame description</fex>.
0,Text_creation,"An Author creates a Text, either written, such as a letter, or spoken, such as a speech,  that contains meaningful linguistic tokens, and may have a particular Addressee in mind.",I <t>penned</t> a letter concerning racism to Congress.,Time,
0,Text_creation,"An Author creates a Text, either written, such as a letter, or spoken, such as a speech,  that contains meaningful linguistic tokens, and may have a particular Addressee in mind.",I <t>penned</t> a letter concerning racism to Congress.,Place,
0,Waver_between_options,A Cognizer faces a choice on some Issue.,Dave Hayes <t>wavered</t> about moving to California because so many of his friends are in Baltimore.,Cognizer,"<fex>I</fex> went back and forth over whether to post it or not, but the fact is that this blog is as much for you as it is for me."
0,Waver_between_options,A Cognizer faces a choice on some Issue.,Dave Hayes <t>wavered</t> about moving to California because so many of his friends are in Baltimore.,Options,In the late 1890s Carnegie vacillated <fex>between wanting to dominate the steel industry and wanting to sell out</fex>. 
0,Waver_between_options,A Cognizer faces a choice on some Issue.,Dave Hayes <t>wavered</t> about moving to California because so many of his friends are in Baltimore.,Issue,Editors go back and forth on a daily basis <fex>about what gets in the paper</fex>.
0,Waver_between_options,A Cognizer faces a choice on some Issue.,Dave Hayes <t>wavered</t> about moving to California because so many of his friends are in Baltimore.,Option_1,You've waffled <fex>from one explanation</fex> to another.
0,Waver_between_options,A Cognizer faces a choice on some Issue.,Dave Hayes <t>wavered</t> about moving to California because so many of his friends are in Baltimore.,Option_2,The heroine waffled from one plan <fex>to another</fex> and all of them were way out in 'left field'.
0,Waver_between_options,A Cognizer faces a choice on some Issue.,Dave Hayes <t>wavered</t> about moving to California because so many of his friends are in Baltimore.,Time,"Here, however, the Romeros had provided some assurance to Ryan's mother of care,
although the court <fex>later</fex> waffled upon how much supervision was guaranteed"
0,Waver_between_options,A Cognizer faces a choice on some Issue.,Dave Hayes <t>wavered</t> about moving to California because so many of his friends are in Baltimore.,Place,"Do they know better than us that our dithering <fex>at the UN</fex> gave Saddam time to hide, destroy, and shuffle his weapons programs?"
0,Natural_features,The Locale is a geographical location as defined by shape., We climbed up the rock <t>cliff</t>.,Locale,
0,Biological_area,"This frame contains words that denote large ecological areas as well as smaller locations characterized by the type of life present--in other words, geography locations as defined by biota.",I've spent a long time in the rugged <t>prairies</t> of northern Llorwyn.,Locale,There used to be a <fex><t>forest</t></fex> in that valley.
0,Directional_locative_relation,"A Figure is located relative to a (presumably more easily located) Ground, asserting that the Figure lies (approximately) on line from the Ground whose direction is established by semantic types of the particular LUs.",The plane landed 10 miles due <t>north</t> of Lake Travis in an empty field .,Ground,The cat is above <fex>the mat</fex>.
0,Directional_locative_relation,"A Figure is located relative to a (presumably more easily located) Ground, asserting that the Figure lies (approximately) on line from the Ground whose direction is established by semantic types of the particular LUs.",The plane landed 10 miles due <t>north</t> of Lake Travis in an empty field .,Figure,<fex>The cat</fex> is above the mat.
0,Directional_locative_relation,"A Figure is located relative to a (presumably more easily located) Ground, asserting that the Figure lies (approximately) on line from the Ground whose direction is established by semantic types of the particular LUs.",The plane landed 10 miles due <t>north</t> of Lake Travis in an empty field .,Time,He was north of the park <fex>on Friday</fex>.
0,Use_firearm,"An Agent causes a Firearm to discharge, usually directing the projectile from the barrel of the Firearm (the Source), along a Path, and to a Goal.",The Germans wouldn't stop <t>shooting</t> cannons at them.,Agent,
0,Use_firearm,"An Agent causes a Firearm to discharge, usually directing the projectile from the barrel of the Firearm (the Source), along a Path, and to a Goal.",The Germans wouldn't stop <t>shooting</t> cannons at them.,Firearm,
0,Use_firearm,"An Agent causes a Firearm to discharge, usually directing the projectile from the barrel of the Firearm (the Source), along a Path, and to a Goal.",The Germans wouldn't stop <t>shooting</t> cannons at them.,Time,
0,Use_firearm,"An Agent causes a Firearm to discharge, usually directing the projectile from the barrel of the Firearm (the Source), along a Path, and to a Goal.",The Germans wouldn't stop <t>shooting</t> cannons at them.,Place,
0,Locale_by_collocation,A Profiled_region is identified as being the region where an Entity is located.,State your <t><fex name='Profiled_region'>location</fex></t>.,Profiled_region,"If you sign up for this new service, we can get a fix on your phone's <fex>location</fex> if you lose it or it is stolen."
0,Locale_by_collocation,A Profiled_region is identified as being the region where an Entity is located.,State your <t><fex name='Profiled_region'>location</fex></t>.,Entity,"If you sign up for this new service, we can get a fix on <fex>your phone's</fex> location if you lose it or it is stolen."
0,Locale_by_collocation,A Profiled_region is identified as being the region where an Entity is located.,State your <t><fex name='Profiled_region'>location</fex></t>.,Time,Any updates on his <fex>current</fex> location?
0,Certainty,This frame concerns a Cognizer's certainty about the correctness of beliefs  or expectations.,Lermontov was <t>certain</t> he would come to the party.,Cognizer,<fex>Marcel</fex> was sure that she had seen Eldridge on the balcony.
0,Certainty,This frame concerns a Cognizer's certainty about the correctness of beliefs  or expectations.,Lermontov was <t>certain</t> he would come to the party.,Topic,"She talked of quests , of finding this absurd religious character , but he was unsure <fex>of her conviction</fex>."
0,Certainty,This frame concerns a Cognizer's certainty about the correctness of beliefs  or expectations.,Lermontov was <t>certain</t> he would come to the party.,Content,I am sure <fex>that we'll arrive on time</fex>.
0,Certainty,This frame concerns a Cognizer's certainty about the correctness of beliefs  or expectations.,Lermontov was <t>certain</t> he would come to the party.,Expressor,She caught sight of her mother's dubious <fex>expression</fex>.
0,Launch_process,An Agent acts to begin the life of a Process.,"After discovering her knack for organization, she decided to try to  <t>launch</t> a career in human resources.",Process,
0,Launch_process,An Agent acts to begin the life of a Process.,"After discovering her knack for organization, she decided to try to  <t>launch</t> a career in human resources.",Agent,
0,Launch_process,An Agent acts to begin the life of a Process.,"After discovering her knack for organization, she decided to try to  <t>launch</t> a career in human resources.",Time,
0,Launch_process,An Agent acts to begin the life of a Process.,"After discovering her knack for organization, she decided to try to  <t>launch</t> a career in human resources.",Place,
0,Process_pause,"The Process stops making progress towards completion, but should resume and continue.",,Process,
0,Process_pause,"The Process stops making progress towards completion, but should resume and continue.",,Time,
0,Process_pause,"The Process stops making progress towards completion, but should resume and continue.",,Place,
0,Commonality,"This frame contains words that describe a set of individuals which possess some Commonality, generally a common attribute.",Their <t>common</t> enemy was Britain.,Entities,<fex>Their</fex> common enemy was Britain.
0,Commonality,"This frame contains words that describe a set of individuals which possess some Commonality, generally a common attribute.",Their <t>common</t> enemy was Britain.,Commonality,Their shared <fex>parents</fex> were their only similarity.
0,Commonality,"This frame contains words that describe a set of individuals which possess some Commonality, generally a common attribute.",Their <t>common</t> enemy was Britain.,Entity_1,<fex>He</fex> shares a home with us.
0,Commonality,"This frame contains words that describe a set of individuals which possess some Commonality, generally a common attribute.",Their <t>common</t> enemy was Britain.,Entity_2,He shares a home with <fex>us</fex>.
0,Mining,"A Miner attempts to obtain a desirable Resource, rocks and minerals, located in a Place being mined, by digging or tunneling in the ground.",They <t>mine</t> diamonds in Africa.,Miner,
0,Mining,"A Miner attempts to obtain a desirable Resource, rocks and minerals, located in a Place being mined, by digging or tunneling in the ground.",They <t>mine</t> diamonds in Africa.,Resource,
0,Mining,"A Miner attempts to obtain a desirable Resource, rocks and minerals, located in a Place being mined, by digging or tunneling in the ground.",They <t>mine</t> diamonds in Africa.,Time,
0,Mining,"A Miner attempts to obtain a desirable Resource, rocks and minerals, located in a Place being mined, by digging or tunneling in the ground.",They <t>mine</t> diamonds in Africa.,Place,
0,Vehicle_departure_initial_stage,A Vehicle moves into position or otherwise changes configuration or state as preparation for normal operation.,The flight for New York finally <t>lifted off</t> from Oakland International with one hundred passengers aboard.,Vehicle,
0,Vehicle_departure_initial_stage,A Vehicle moves into position or otherwise changes configuration or state as preparation for normal operation.,The flight for New York finally <t>lifted off</t> from Oakland International with one hundred passengers aboard.,Source,The ship cast off <fex>from Pier 21</fex>.
0,Vehicle_departure_initial_stage,A Vehicle moves into position or otherwise changes configuration or state as preparation for normal operation.,The flight for New York finally <t>lifted off</t> from Oakland International with one hundred passengers aboard.,Time,The helicopter took off <fex>in the afternoon of October 9th</fex>.
0,Vehicle_departure_initial_stage,A Vehicle moves into position or otherwise changes configuration or state as preparation for normal operation.,The flight for New York finally <t>lifted off</t> from Oakland International with one hundred passengers aboard.,Place,
0,Image_schema,A Profiled_region is picked out relative to a Ground.,,Profiled_region,
0,Image_schema,A Profiled_region is picked out relative to a Ground.,,Ground,
0,Mathematical_relationship,A mathematical expression Expression_1 has a relationship with another mathematical expression Expression_2.,The <t>FORMULA</t> of a line can be given in slope-intercept form,Expression_1,<fex>Force</fex> EQUALS mass * acceleration
0,Mathematical_relationship,A mathematical expression Expression_1 has a relationship with another mathematical expression Expression_2.,The <t>FORMULA</t> of a line can be given in slope-intercept form,Expression_2,Force EQUALS <fex>mass * acceleration</fex>
0,Negation,"This frame models the semantic contribution of negation, in which the profiled content of the Negated_proposition is asserted to contrast incompatibly with a corresponding Factual_situation, which is normally implicit.",It 's <t>not</t> far from here . INI,Negated_proposition,"<fex>She did</fex>n't <fex>know</fex>, rather she suspected."
0,Negation,"This frame models the semantic contribution of negation, in which the profiled content of the Negated_proposition is asserted to contrast incompatibly with a corresponding Factual_situation, which is normally implicit.",It 's <t>not</t> far from here . INI,Factual_situation,"She did n't know, <fex>rather she suspected</fex> ."
0,Carry_goods,"A Distributor sells, lends, or otherwise distributes a class of Goods.","Trader Joe's <t>carries</t> a wide variety of foods, drinks, and househole necessities.",Distributor,
0,Carry_goods,"A Distributor sells, lends, or otherwise distributes a class of Goods.","Trader Joe's <t>carries</t> a wide variety of foods, drinks, and househole necessities.",Goods,
0,Carry_goods,"A Distributor sells, lends, or otherwise distributes a class of Goods.","Trader Joe's <t>carries</t> a wide variety of foods, drinks, and househole necessities.",Time,
0,Carry_goods,"A Distributor sells, lends, or otherwise distributes a class of Goods.","Trader Joe's <t>carries</t> a wide variety of foods, drinks, and househole necessities.",Place,
0,Supporting,A Supporter assists to strengthen the Supported by lending itself in material aid (or abstract assistance in the case of metaphorical uses).,The bottom of the wall is <t>supported</t> by the foundation.,Supporter,
0,Supporting,A Supporter assists to strengthen the Supported by lending itself in material aid (or abstract assistance in the case of metaphorical uses).,The bottom of the wall is <t>supported</t> by the foundation.,Supported,
0,Supporting,A Supporter assists to strengthen the Supported by lending itself in material aid (or abstract assistance in the case of metaphorical uses).,The bottom of the wall is <t>supported</t> by the foundation.,Time,"<fex>Early in the twentieth century</fex>, such economic arguments buttressed the creation of a National Park Service."
0,Supporting,A Supporter assists to strengthen the Supported by lending itself in material aid (or abstract assistance in the case of metaphorical uses).,The bottom of the wall is <t>supported</t> by the foundation.,Place,"<fex>In England</fex>, economic incentives are buttressed by closing certain overdoctored areas from new practices."
0,Activity_ready_state,"The Protagonist is in an initial state, before beginning to be involved in the Activity, but all pre-conditions for performance of the Activity have been satisfied.",She 's not <t>ready</t> ! DNI.,Protagonist,
0,Activity_ready_state,"The Protagonist is in an initial state, before beginning to be involved in the Activity, but all pre-conditions for performance of the Activity have been satisfied.",She 's not <t>ready</t> ! DNI.,Activity,The students were finally ready <fex>to take the exam</fex> .
0,Activity_ready_state,"The Protagonist is in an initial state, before beginning to be involved in the Activity, but all pre-conditions for performance of the Activity have been satisfied.",She 's not <t>ready</t> ! DNI.,Salient_entity,Are you ready <fex>for a baby</fex> ?
0,Activity_ready_state,"The Protagonist is in an initial state, before beginning to be involved in the Activity, but all pre-conditions for performance of the Activity have been satisfied.",She 's not <t>ready</t> ! DNI.,Time,He looks like he 's ready <fex>now</fex> .
0,Product_line,A specified Designer or a Brand creates and distributes a Collection of related Products.,The new Gucci <t>line</t> is due out in early Spring.,Brand,Did you see the new <fex>Kate Spade</fex> line?
0,Product_line,A specified Designer or a Brand creates and distributes a Collection of related Products.,The new Gucci <t>line</t> is due out in early Spring.,Collection,"They're so damn rich, they could buy this whole <fex><t>line</t></fex> without batting an eyelash."
0,Product_line,A specified Designer or a Brand creates and distributes a Collection of related Products.,The new Gucci <t>line</t> is due out in early Spring.,Products,Jaques just showed us his Fall line <fex>of cocktail dresses</fex>.
0,Product_line,A specified Designer or a Brand creates and distributes a Collection of related Products.,The new Gucci <t>line</t> is due out in early Spring.,Designer,Did you see <fex>Louis'</fex> new line?
0,Attempt_action_scenario,"This frame represents the core action of an Attempt, where an Agent has a Goal and performs some Means action that they believe will achieve the Goal.",,Agent,<fex>John</fex> attempted to climb Mt. Everest.
0,Attempt_action_scenario,"This frame represents the core action of an Attempt, where an Agent has a Goal and performs some Means action that they believe will achieve the Goal.",,Time,
0,Attempt_action_scenario,"This frame represents the core action of an Attempt, where an Agent has a Goal and performs some Means action that they believe will achieve the Goal.",,Place,<fex>On the bridge</fex> he attempted to put the wig on.
0,Death,The words in this frame describe the death of a Protagonist.,"The machine was not switched off, but Mr. Lavelle <t>died</t> of natural causes, police said.",Protagonist,<fex>The goldfish</fex> died.
0,Death,The words in this frame describe the death of a Protagonist.,"The machine was not switched off, but Mr. Lavelle <t>died</t> of natural causes, police said.",Time,Your father passed away <fex>about four minutes ago</fex>.
0,Death,The words in this frame describe the death of a Protagonist.,"The machine was not switched off, but Mr. Lavelle <t>died</t> of natural causes, police said.",Place,Your father passed away <fex>in his hospital bed</fex>.
0,Shaped_part,An entity is a shaped Part of a larger Whole.,I removed the <t>brim</t> of the hat,Part,Sergey put his arm on the <fex>arm</fex> of his armchair.
0,Shaped_part,An entity is a shaped Part of a larger Whole.,I removed the <t>brim</t> of the hat,Whole,The leg <fex>of the table</fex> came off when we moved it.
0,Evading,"An Evader moves under its own power to thereby avoid Capture  or contact with a Pursuer, also generally moving under its own power.",I <t>gave</t> my handler <t>the</t> <t>slip</t>.,Evader,<fex>The mouse</fex> eluded the cats for only a few minutes.
0,Evading,"An Evader moves under its own power to thereby avoid Capture  or contact with a Pursuer, also generally moving under its own power.",I <t>gave</t> my handler <t>the</t> <t>slip</t>.,Pursuer,The mouse eluded <fex>the cats</fex> for only a few minutes.
0,Evading,"An Evader moves under its own power to thereby avoid Capture  or contact with a Pursuer, also generally moving under its own power.",I <t>gave</t> my handler <t>the</t> <t>slip</t>.,Capture,"Rýmirez-Sýnchez , tried in absentia , had evaded <fex>capture</fex> since the murders in Paris on June 27 , 1975 "
